parent_name,name,created_at,updated_at,categoryPath,include_in_menu,description,meta_keywords,meta_description,custom_layout_update,is_active,landing_page,is_anchor,custom_use_parent_settings,custom_apply_to_products,image,meta_title,display_mode,url_key
Riyadh_School,boys_elementary,2019-10-20 07:13:36,2019-10-30 12:15:13,Root Catalog/Root Catalog Migrated/Schools & Clubs/Riyadh_School/boys_elementary,0,,,,,1,,0,,0,Riyadh-School-Banner.png,,PRODUCTS,riyadh-boys-elementary
Riyadh_School,boys_highschool,2019-10-20 07:19:51,2019-10-30 12:15:52,Root Catalog/Root Catalog Migrated/Schools & Clubs/Riyadh_School/boys_highschool,0,,,,,1,,0,,0,Riyadh-School-Banner.png,,PRODUCTS,riyadh-boys-highschool
Riyadh_School,girls-kindergarten,2019-10-20 07:30:14,2019-10-30 13:26:07,Root Catalog/Root Catalog Migrated/Schools & Clubs/Riyadh_School/girls-kindergarten,1,,,,,1,,0,,0,Riyadh-School-Banner.png,,PRODUCTS,riyadh-girls-kindergarten
Riyadh_School,girls_elementary,2019-10-20 07:34:17,2019-10-30 13:27:56,Root Catalog/Root Catalog Migrated/Schools & Clubs/Riyadh_School/girls_elementary,0,,,,,1,,0,,0,Riyadh-School-Banner.png,,PRODUCTS,riyadh-girls-elementary
Riyadh_School,girls_highschool,2019-10-20 07:42:19,2019-10-30 11:39:53,Root Catalog/Root Catalog Migrated/Schools & Clubs/Riyadh_School/girls_highschool,0,,,,,1,,0,,0,Riyadh-School-Banner.png,,PRODUCTS,riyadh-girls-highschool
Root Catalog,DIA,2019-11-05 14:36:30,2019-11-05 14:36:30,Root Catalog/DIA,1,,,,,1,,0,,0,,dia school,PRODUCTS,dia
Schools & Clubs,DIA,2019-11-05 14:37:25,2019-11-10 05:25:19,Root Catalog/Root Catalog Migrated/Schools & Clubs/DIA,1,,,,,1,,0,,0,Beccles_Banner.png,dia school,PRODUCTS,dia-school
Reptonschool,reptoncricket,2019-11-10 08:07:37,2019-11-12 09:41:11,Root Catalog/Root Catalog Migrated/Schools & Clubs/Reptonschool/reptoncricket,1,,,,,1,,0,,0,Reptonbanner.png,Repton-cricket,PRODUCTS,repton-cricket
Schools & Clubs,Rashid School,2019-12-11 11:50:56,2020-01-22 09:37:54,Root Catalog/Root Catalog Migrated/Schools & Clubs/Rashid School,0,,,,,1,,0,,0,,,PRODUCTS,rashid-school
Schools & Clubs,Latifa School,2019-12-11 11:51:41,2019-12-11 11:51:41,Root Catalog/Root Catalog Migrated/Schools & Clubs/Latifa School,0,,,,,1,,0,,0,,,PRODUCTS,latifa-school
Reptonschool,Repton Rugby,2020-02-24 10:30:36,2020-02-24 10:30:36,Root Catalog/Root Catalog Migrated/Schools & Clubs/Reptonschool/Repton Rugby,1,,,,,1,,0,,0,,,PRODUCTS,repton-rugby
Wellington International,Wellington Sports Leader,2020-05-21 11:19:24,2020-05-21 11:54:41,Root Catalog/Root Catalog Migrated/Schools & Clubs/Wellington International/Wellington Sports Leader,0,,,,,1,,0,,0,,,PRODUCTS,sports-leader
