product_name,product_sku,warehouse,qty_in_warehouse,shelf_location
"Danah Diver Osaka Zip Off Cargo Pants",1-DAN-PAN-WET-BES-NVY-S,J20,1.0000,"C 01 C 2"
"Danah Diver Osaka Zip Off Cargo Pants",1-DAN-PAN-WET-BES-NVY-XL,J20,1.0000,"C 01 C 2"
"Danah Diver Osaka Zip Off Cargo Pants",1-DAN-PAN-WET-BES-NVY-XS,J20,2.0000,"C 01 C 2"
"Danah Diver Tshirt",1-DAN-TEE-RED-BES-NVY-L,J20,0.0000,"C 01 C 2"
"Danah Diver Tshirt",1-DAN-TEE-RED-BES-NVY-S,J20,1.0000,"C 01 C 2"
"Danah Diver Tshirt | White",1-DAN-TEE-RED-BES-WHT-M,J20,1.0000,"C 01 C 2"
"Danah Diver Tshirt",1-DAN-TEE-RED-BES-NVY-XS,J20,1.0000,"C 01 C 2"
"Danah Divers Sublimated Boardshort",1-DAN-SHO-BOA-BES-NVY-L,J20,2.0000,"BOX - AMERICAN ACADEMY"
"Danah Divers Sublimated Boardshort",1-DAN-SHO-BOA-BES-NVY-M,J20,2.0000,"BOX - AMERICAN ACADEMY"
"Danah Divers Sublimated Boardshort",1-DAN-SHO-BOA-BES-NVY-S,J20,3.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Ladies Racer Back Vest",1-DTR-VES-SUB-BES-RB-BLK-12,J20,1.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Ladies Round Neck Vest",1-DTR-VES-SUB-BES-RN-BLK-10,J20,2.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Ladies Round Neck Vest",1-DTR-VES-SUB-BES-RN-BLK-12,J20,3.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Ladies Round Neck Vest",1-DTR-VES-SUB-BES-RN-BLK-8,J20,1.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Mens Round Neck Vest",1-DTR-VES-SUB-BES-RN-BLK-L,J20,1.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Mens Round Neck Vest",1-DTR-VES-SUB-BES-RN-BLK-M,J20,1.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Mens Round Neck Vest",1-DTR-VES-SUB-BES-RN-BLK-S,J20,2.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Ladies Tshirt",1-DTR-TEE-SUB-BES-BLK-10,J20,2.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Ladies Tshirt",1-DTR-TEE-SUB-BES-BLK-12,J20,3.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Ladies Tshirt",1-DTR-TEE-SUB-BES-BLK-8,J20,1.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Mens Scoop Neck Vest",1-DTR-VES-SUB-BES-SN-BLK-L,J20,1.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Mens Tshirt",1-DTR-TEE-SUB-BES-BLK-L,J20,1.0000,"BOX - AMERICAN ACADEMY"
"Desert Trail Runners Unisex Hoodies",1-DTR-HOD-SUB-BES-BLK-L,J20,1.0000,"BOX - AMERICAN ACADEMY"
"Ecomax Rugby Short | White",1-STK-RUG-SHO004-WHT-SB,J20,3.0000,"A 04 B 2"
"Ecomax Rugby Short | White",1-STK-RUG-SHO004-WHT-XS,J20,4.0000,"A 04 B 2"
"Economax Hoodie | Royal Blue",1-STK-HOD-RED-BES-RYB-L,J20,2.0000,"BOX - JACKET"
"Economax Hoodie | Navy",1-STK-HOD-RED-BES-NVY-LB,J20,1.0000,"BOX 1"
"Economax Hoodie | Black",1-STK-HOD-RED-BES-BLK-S,J20,3.0000,"BOX 1"
"Economax Hoodie | Green",1-STK-HOD-RED-BES-GRN-S,J20,1.0000,"BOX 1"
"Economax Hoodie | Grey",1-STK-HOD-RED-BES-GRY-LB,J20,1.0000,"BOX 1"
"Economax Hoodie | Grey",1-STK-HOD-RED-BES-GRY-MB,J20,1.0000,"BOX 1"
"Economax Hoodie | Grey",1-STK-HOD-RED-BES-GRY-S,J20,1.0000,"BOX 1"
"Economax Hoodie | Grey",1-STK-HOD-RED-BES-GRY-SB,J20,1.0000,"BOX 1"
